id,path,live
8637,./img_data/spoof/8637_356749_spoof.jpg,0
153,./img_data/spoof/153_169059_spoof.jpg,0
153,./img_data/spoof/153_454702_spoof.jpg,0
2257,./img_data/live/2257_171693_live.jpg,1
2257,./img_data/live/2257_150890_live.jpg,1
2257,./img_data/spoof/2257_081666_spoof.jpg,0
4946,./img_data/live/4946_074577_live.jpg,1
4946,./img_data/spoof/4946_454191_spoof.jpg,0
8678,./img_data/spoof/8678_239295_spoof.jpg,0
8678,./img_data/spoof/8678_124544_spoof.jpg,0
247,./img_data/live/247_464951_live.jpg,1
4920,./img_data/live/4920_272529_live.jpg,1
4920,./img_data/spoof/4920_357617_spoof.jpg,0
4920,./img_data/spoof/4920_414699_spoof.jpg,0
3674,./img_data/live/3674_434503_live.jpg,1
3674,./img_data/spoof/3674_209217_spoof.jpg,0
3674,./img_data/spoof/3674_104752_spoof.jpg,0
10028,./img_data/live/10028_404145_live.jpg,1
10028,./img_data/spoof/10028_089258_spoof.jpg,0
10028,./img_data/spoof/10028_142941_spoof.jpg,0
10093,./img_data/live/10093_110344_live.jpg,1
10093,./img_data/live/10093_078746_live.jpg,1
10093,./img_data/spoof/10093_009839_spoof.jpg,0
4859,./img_data/live/4859_321248_live.jpg,1
4859,./img_data/live/4859_115254_live.jpg,1
4859,./img_data/live/4859_470814_live.jpg,1
4859,./img_data/live/4859_185135_live.jpg,1
6581,./img_data/live/6581_000167_live.jpg,1
6581,./img_data/spoof/6581_167805_spoof.jpg,0
1040,./img_data/live/1040_370998_live.jpg,1
1040,./img_data/live/1040_454123_live.jpg,1
1040,./img_data/spoof/1040_323829_spoof.jpg,0
1040,./img_data/spoof/1040_240186_spoof.jpg,0
3941,./img_data/live/3941_291157_live.jpg,1
3941,./img_data/spoof/3941_170485_spoof.jpg,0
6100,./img_data/live/6100_080373_live.jpg,1
6100,./img_data/live/6100_305397_live.jpg,1
6100,./img_data/live/6100_116374_live.jpg,1
6100,./img_data/spoof/6100_064300_spoof.jpg,0
6100,./img_data/spoof/6100_369760_spoof.jpg,0
6128,./img_data/live/6128_302114_live.jpg,1
