id,path,live
8733,./img_data/live/8733_398705_live.jpg,1
8733,./img_data/spoof/8733_020654_spoof.jpg,0
8402,./img_data/live/8402_305832_live.jpg,1
8402,./img_data/spoof/8402_056793_spoof.jpg,0
3199,./img_data/live/3199_413334_live.jpg,1
3199,./img_data/spoof/3199_211643_spoof.jpg,0
6604,./img_data/live/6604_534437_live.jpg,1
6604,./img_data/live/6604_512865_live.jpg,1
6604,./img_data/live/6604_547404_live.jpg,1
6604,./img_data/spoof/6604_560796_spoof.jpg,0
6604,./img_data/spoof/6604_514480_spoof.jpg,0
6604,./img_data/spoof/6604_537718_spoof.jpg,0
7732,./img_data/live/7732_357545_live.jpg,1
7732,./img_data/spoof/7732_125608_spoof.jpg,0
507,./img_data/live/507_424154_live.jpg,1
507,./img_data/spoof/507_220243_spoof.jpg,0
9323,./img_data/live/9323_218569_live.jpg,1
9323,./img_data/live/9323_094045_live.jpg,1
9323,./img_data/spoof/9323_287869_spoof.jpg,0
9323,./img_data/spoof/9323_196516_spoof.jpg,0
2611,./img_data/live/2611_280153_live.jpg,1
2611,./img_data/spoof/2611_402595_spoof.jpg,0
9476,./img_data/live/9476_366856_live.jpg,1
9476,./img_data/spoof/9476_428855_spoof.jpg,0
167,./img_data/live/167_278384_live.jpg,1
167,./img_data/spoof/167_155777_spoof.jpg,0
8819,./img_data/live/8819_347809_live.jpg,1
8819,./img_data/spoof/8819_441810_spoof.jpg,0
3872,./img_data/live/3872_485817_live.jpg,1
3872,./img_data/spoof/3872_110154_spoof.jpg,0
2597,./img_data/live/2597_068828_live.jpg,1
2597,./img_data/live/2597_486034_live.jpg,1
2597,./img_data/live/2597_289989_live.jpg,1
2597,./img_data/spoof/2597_238986_spoof.jpg,0
2597,./img_data/spoof/2597_367228_spoof.jpg,0
2597,./img_data/spoof/2597_220454_spoof.jpg,0
3185,./img_data/live/3185_241370_live.jpg,1
3185,./img_data/spoof/3185_207119_spoof.jpg,0
4596,./img_data/live/4596_353510_live.jpg,1
4596,./img_data/spoof/4596_105551_spoof.jpg,0
8727,./img_data/live/8727_127277_live.jpg,1
8727,./img_data/live/8727_179922_live.jpg,1
8727,./img_data/spoof/8727_110869_spoof.jpg,0
8727,./img_data/spoof/8727_477576_spoof.jpg,0
8419,./img_data/live/8419_435980_live.jpg,1
8419,./img_data/spoof/8419_341998_spoof.jpg,0
4085,./img_data/live/4085_369724_live.jpg,1
4085,./img_data/spoof/4085_288747_spoof.jpg,0
2715,./img_data/live/2715_078816_live.jpg,1
2715,./img_data/live/2715_272217_live.jpg,1
2715,./img_data/spoof/2715_257045_spoof.jpg,0
2715,./img_data/spoof/2715_004246_spoof.jpg,0
9398,./img_data/live/9398_359481_live.jpg,1
9398,./img_data/spoof/9398_099186_spoof.jpg,0
4936,./img_data/live/4936_351014_live.jpg,1
4936,./img_data/spoof/4936_010789_spoof.jpg,0
7631,./img_data/live/7631_213487_live.jpg,1
7631,./img_data/spoof/7631_016611_spoof.jpg,0
885,./img_data/live/885_435204_live.jpg,1
885,./img_data/live/885_440954_live.jpg,1
